scientific_name,common_name
Pinus,pines
Pinus brutia,Turkish pine
Ceratonia siliqua,carob tree
Cenchrus longisetus,feathertop
Ficus rubiginosa,Port Jackson fig
Alhagi maurorum,camel thorn
Eryngium maritimum,Sea Holly
Juncus kraussii,Sea Rush
Ipomoea imperati,beach morning-glory
Tamarix ramosissima,saltcedar
Acacia saligna,golden wreath wattle
Verbascum sinuatum,wavyleaf mullein
Mentha longifolia,Horse Mint
Dittrichia viscosa,false yellowhead
Plantae,plants
Stephanomeria,wirelettuce
Mesembryanthemum cordifolium,heart-leaf ice plant
Carpobrotus acinaciformis,Sally-my-handsome
Avena,Oats
Plantae,plants
Arundo donax,giant reed
Rubus sanctus,Holy Bramble
Calystegia sepium,hedge bindweed
Daucus carota,wild carrot
Asteroideae,
Pistacia terebinthus,terebinth
Cichorium intybus,chicory
Amaranthus,amaranths
Lythrum salicaria,purple loosestrife
Mirabilis jalapa,Marvel of Peru
Bougainvillea glabra,lesser bougainvillea
Pentanema verbascifolium,Snow Samphire
Pinus,"Eurasian, red, and tropical pines"
Cydonia oblonga,Quince
Ziziphus jujuba,Jujube
Punica granatum,pomegranate
Arundo donax,giant reed
Opuntia ficus-indica,Indian fig opuntia
Celosia argentea,Quail Grass
Hibiscus rosa-sinensis,Chinese hibiscus
Asteroideae,
Duranta erecta,skyflower
Hibiscus,hibiscuses
Hibiscus syriacus,common hibiscus
,
Pistacia lentiscus,mastic
Pinus brutia,Turkish pine
Pistacia terebinthus,terebinth
Juniperus phoenicea,Phoenicean juniper
Opuntia ficus-indica,Indian fig opuntia
Pinus brutia,Turkish pine
Punica granatum,pomegranate
Opuntia ficus-indica,Indian fig opuntia
Vitis vinifera,wine grape
Platanus orientalis,Oriental Plane
Ceratonia siliqua,carob tree
Punica granatum,pomegranate
Ficus carica,common fig
Olea europaea,Olive
Elaeagnus angustifolia,Russian olive
Pinus,pines
Pinus brutia,Turkish pine
Parthenocissus tricuspidata,Japanese creeper
Pinus brutia,Turkish pine
Liquidambar,sweetgums
Liquidambar styraciflua,American sweetgum
Pinus brutia,Turkish pine
Albizia julibrissin,Persian silk tree
Vitex agnus-castus,Lilac chaste tree
Solanum,nightshades
Cardueae,
Euphorbia marginata,snow-on-the-mountain
Tupeia,
Tradescantia pallida,Purple heart
Pancratium maritimum,Sea Daffodil
Lycianthes rantonnetii,blue potatobush
Acer undulatum,
Arecaceae,palms
Bryophyllum,
Drimia maritima,Sea Squill Complex
Plantae,plants
Ruellia simplex,Mexican ruellia
Ruellia simplex,Mexican ruellia
Erythrina,Coral trees
Lycianthes rantonnetii,blue potatobush
Pancratium maritimum,Sea Daffodil
Drimia aphylla,Sea Squill
Pistacia lentiscus,mastic
Hedera,ivies
Agave americana,American century plant
Pancratium maritimum,Sea Daffodil
Drimia aphylla,Sea Squill
Drimia maritima,Sea Squill Complex
Ziziphus jujuba,Jujube
Vitex agnus-castus,Lilac chaste tree
Cyclamen,
Vitex agnus-castus,Lilac chaste tree
Plumbago auriculata,blue plumbago
Duranta,
Lantana,
Lantana,
Yucca,Yuccas
Crithmum maritimum,rock samphire
Pancratium maritimum,Sea Daffodil
Polygala myrtifolia,Sweet Pea Shrub
Vitex agnus-castus,Lilac chaste tree
Bauhinia,Orchid Trees
Tecomaria capensis,Cape Honeysuckle
Arecaceae,palms
Gomphrena globosa,Globe amaranth
Echium plantagineum,purple viper's-bugloss
Heliotropium europaeum,European heliotrope
Euphorbia maculata,Spotted spurge
Malva multiflora,Cretan Tree-mallow
Mercurialis annua,Annual mercury
Oxalis pes-caprae,Bermuda buttercup
Olea europaea,Olive
Quercus aucheri,Boz-Pirnal Oak
Limonium virgatum,Olive-leaved Sea-lavender
Ephedra distachya,jointfir
Atriplex portulacoides,Sea-purslane
Leontodon hispidus,Rough Hawkbit
Drimia aphylla,Sea Squill
Drimia aphylla,Sea Squill
Drimia aphylla,Sea Squill
Briza maxima,Greater Quaking Grass
Ferula communis,Giant Fennel
Calicotome villosa,Spiny Broom
Limonium graecum,
Limonium virgatum,Olive-leaved Sea-lavender
Limonium graecum,
Carlina lanata,Woolly Carline-thistle
Salsola tragus,Prickly Russian Thistle
Crithmum maritimum,rock samphire
Eryngium glomeratum,Ball Eryngo
Ferula communis,Giant Fennel
Daphne gnidioides,
Quercus aucheri,Boz-Pirnal Oak
Juniperus phoenicea,
Asparagus aphyllus,Mediterranean Asparagus
Xanthium strumarium,rough cocklebur
Datura,devil's trumpets
Pistacia lentiscus,mastic
Pinus brutia,Turkish pine
Ceratonia,
Juncus acutus,spiny rush
Aloe arborescens,Candelabra Aloe
Hibiscus,hibiscuses
Plantae,plants
Heliotropium curassavicum,alkali heliotrope
Drimia maritima,Sea Squill Complex
Erica arborea,Tree heath
Arundo donax,giant reed
Cocculus carolinus,Carolina snailseed
Cyclamen hederifolium,Ivy-leaved cyclamen
Spiranthes spiralis,Autumn Ladies' Tresses
Cyclamen hederifolium,Ivy-leaved cyclamen
Cyclamen hederifolium,Ivy-leaved cyclamen
Cyclamen hederifolium,Ivy-leaved cyclamen
Cyclamen hederifolium,Ivy-leaved cyclamen
Smilax excelsa,Larger Smilax
Ceratonia siliqua,carob tree
Quercus coccifera,Kermes oak
Eryngium creticum,Syrian eryngo
Prospero autumnale,Autumn Squill Complex
Carlina corymbosa,Clustered Carline-thistle
Leontodon hispidus,Rough Hawkbit
Carthamus dentatus,
Arbutus unedo,strawberry tree
Quercus aucheri,Boz-Pirnal Oak
Ruellia simplex,Mexican ruellia
Lantana camara,common lantana
Picnomon acarna,Yellow-spine Thistle
Arbutus andrachne,Greek strawberry-tree
Pinus brutia,Turkish pine
Platanus orientalis,Oriental Plane
Mentha longifolia,Horse Mint
Vitex agnus-castus,Lilac chaste tree
Pinus brutia,Turkish pine
Olea europaea,Olive
Olea europaea,Olive
Crataegus orientalis,Oriental Hawthorn
Heptapleurum arboricola,Miniature umbrella tree
Ruellia simplex,Mexican ruellia
Angiospermae,flowering plants
Tracheophyta,vascular plants
Tracheophyta,vascular plants
Cyclamen,
Ceratonia siliqua,carob tree
Cyclamen,
Quercus,oaks
Dittrichia viscosa,false yellowhead
Myrtus communis,myrtle
Platanus orientalis,Oriental Plane
Myrtus communis,myrtle
Pinus brutia,Turkish pine
Smilax excelsa,Larger Smilax
Ceratonia siliqua,carob tree
Drimia aphylla,Sea Squill
Quercus coccifera,Kermes oak
Boraginaceae,borage family
Laurus nobilis,Bay laurel
Platanus orientalis,Oriental Plane
Pseudodictamnus acetabulosus,False Dittany
Asplenium ceterach,Rustyback
Umbilicus rupestris,Wall Pennywort
Selaginella denticulata,Mediterranean clubmoss
Lunularia cruciata,Crescent-cup liverwort
Ficus carica,common fig
Smyrnium connatum,
Cystopteris fragilis,brittle bladderfern
Cyclamen,
Capparis spinosa,Caper Bush
Drimia maritima,Sea Squill Complex
Capparis spinosa aegyptia,
Capparis spinosa aegyptia,
Ceratonia siliqua,carob tree
Parthenocissus quinquefolia,Virginia creeper
Asclepias curassavica,tropical milkweed
Smilax,greenbriers
Dittrichia viscosa,false yellowhead
Boraginaceae,borage family
Tagetes minuta,wild marigold
Arbutus andrachne,Greek strawberry-tree
Ruscus aculeatus,butcher's-broom
Arbutus unedo,strawberry tree
Smilax excelsa,Larger Smilax
Rubia tenuifolia,
Selaginella denticulata,Mediterranean clubmoss
Asplenium ceterach,Rustyback
Asparagus aphyllus,Mediterranean Asparagus
Hypnum,
Capparis,Capebushes
Laurus nobilis,Bay laurel
Ficus carica,common fig
Opuntia ficus-indica,Indian fig opuntia
Punica granatum,pomegranate
Euphorbia dendroides,tree spurge
Quercus coccifera,Kermes oak
Angiospermae,flowering plants
Esula,
Pistacia terebinthus,terebinth
Lepidospartum squamatum,California Broomsage
Clinopodium alpinum,Rock Thyme
Sternbergia lutea,Winter Daffodil
Euphorbia chamaesyce,prostrate spurge
Lagenaria siceraria,Calabash
Hypochaeris glabra,Smooth Cat's Ear
Asphodelus ramosus,Branched Asphodel
Verbascum,mulleins
Verbascum nudatum,
