,scientific_name,common_name
1,Pinus brutia,Turkish pine
2,Ceratonia siliqua,carob tree
3,Cenchrus longisetus,feathertop
4,Ficus rubiginosa,Port Jackson fig
5,Alhagi maurorum,camel thorn
6,Eryngium maritimum,Sea Holly
7,Juncus kraussii,Sea Rush
8,Ipomoea imperati,beach morning-glory
9,Tamarix ramosissima,saltcedar
10,Acacia saligna,golden wreath wattle
11,Verbascum sinuatum,wavyleaf mullein
12,Mentha longifolia,Horse Mint
13,Dittrichia viscosa,false yellowhead
16,Mesembryanthemum cordifolium,heart-leaf ice plant
17,Carpobrotus acinaciformis,Sally-my-handsome
20,Arundo donax,giant reed
21,Rubus sanctus,Holy Bramble
22,Calystegia sepium,hedge bindweed
23,Daucus carota,wild carrot
25,Pistacia terebinthus,terebinth
26,Cichorium intybus,chicory
28,Lythrum salicaria,purple loosestrife
29,Mirabilis jalapa,Marvel of Peru
30,Bougainvillea glabra,lesser bougainvillea
31,Pentanema verbascifolium,Snow Samphire
33,Cydonia oblonga,Quince
34,Ziziphus jujuba,Jujube
35,Punica granatum,pomegranate
36,Arundo donax,giant reed
37,Opuntia ficus-indica,Indian fig opuntia
38,Celosia argentea,Quail Grass
39,Hibiscus rosa-sinensis,Chinese hibiscus
41,Duranta erecta,skyflower
43,Hibiscus syriacus,common hibiscus
45,Pistacia lentiscus,mastic
46,Pinus brutia,Turkish pine
47,Pistacia terebinthus,terebinth
48,Juniperus phoenicea,Phoenicean juniper
49,Opuntia ficus-indica,Indian fig opuntia
50,Pinus brutia,Turkish pine
51,Punica granatum,pomegranate
52,Opuntia ficus-indica,Indian fig opuntia
53,Vitis vinifera,wine grape
54,Platanus orientalis,Oriental Plane
55,Ceratonia siliqua,carob tree
56,Punica granatum,pomegranate
57,Ficus carica,common fig
58,Olea europaea,Olive
59,Elaeagnus angustifolia,Russian olive
61,Pinus brutia,Turkish pine
62,Parthenocissus tricuspidata,Japanese creeper
63,Pinus brutia,Turkish pine
65,Liquidambar styraciflua,American sweetgum
66,Pinus brutia,Turkish pine
67,Albizia julibrissin,Persian silk tree
68,Vitex agnus-castus,Lilac chaste tree
71,Euphorbia marginata,snow-on-the-mountain
73,Tradescantia pallida,Purple heart
74,Pancratium maritimum,Sea Daffodil
75,Lycianthes rantonnetii,blue potatobush
76,Acer undulatum,
79,Drimia maritima,Sea Squill Complex
81,Ruellia simplex,Mexican ruellia
82,Ruellia simplex,Mexican ruellia
84,Lycianthes rantonnetii,blue potatobush
85,Pancratium maritimum,Sea Daffodil
86,Drimia aphylla,Sea Squill
87,Pistacia lentiscus,mastic
89,Agave americana,American century plant
90,Pancratium maritimum,Sea Daffodil
91,Drimia aphylla,Sea Squill
92,Drimia maritima,Sea Squill Complex
93,Ziziphus jujuba,Jujube
94,Vitex agnus-castus,Lilac chaste tree
96,Vitex agnus-castus,Lilac chaste tree
97,Plumbago auriculata,blue plumbago
102,Crithmum maritimum,rock samphire
103,Pancratium maritimum,Sea Daffodil
104,Polygala myrtifolia,Sweet Pea Shrub
105,Vitex agnus-castus,Lilac chaste tree
107,Tecomaria capensis,Cape Honeysuckle
109,Gomphrena globosa,Globe amaranth
110,Echium plantagineum,purple viper's-bugloss
111,Heliotropium europaeum,European heliotrope
112,Euphorbia maculata,Spotted spurge
113,Malva multiflora,Cretan Tree-mallow
114,Mercurialis annua,Annual mercury
115,Oxalis pes-caprae,Bermuda buttercup
116,Olea europaea,Olive
117,Quercus aucheri,Boz-Pirnal Oak
118,Limonium virgatum,Olive-leaved Sea-lavender
119,Ephedra distachya,jointfir
120,Atriplex portulacoides,Sea-purslane
121,Leontodon hispidus,Rough Hawkbit
122,Drimia aphylla,Sea Squill
123,Drimia aphylla,Sea Squill
124,Drimia aphylla,Sea Squill
125,Briza maxima,Greater Quaking Grass
126,Ferula communis,Giant Fennel
127,Calicotome villosa,Spiny Broom
128,Limonium graecum,
129,Limonium virgatum,Olive-leaved Sea-lavender
130,Limonium graecum,
131,Carlina lanata,Woolly Carline-thistle
132,Salsola tragus,Prickly Russian Thistle
133,Crithmum maritimum,rock samphire
134,Eryngium glomeratum,Ball Eryngo
135,Ferula communis,Giant Fennel
136,Daphne gnidioides,
137,Quercus aucheri,Boz-Pirnal Oak
138,Juniperus phoenicea,
139,Asparagus aphyllus,Mediterranean Asparagus
140,Xanthium strumarium,rough cocklebur
142,Pistacia lentiscus,mastic
143,Pinus brutia,Turkish pine
145,Juncus acutus,spiny rush
146,Aloe arborescens,Candelabra Aloe
149,Heliotropium curassavicum,alkali heliotrope
150,Drimia maritima,Sea Squill Complex
151,Erica arborea,Tree heath
152,Arundo donax,giant reed
153,Cocculus carolinus,Carolina snailseed
154,Cyclamen hederifolium,Ivy-leaved cyclamen
155,Spiranthes spiralis,Autumn Ladies' Tresses
156,Cyclamen hederifolium,Ivy-leaved cyclamen
157,Cyclamen hederifolium,Ivy-leaved cyclamen
158,Cyclamen hederifolium,Ivy-leaved cyclamen
159,Cyclamen hederifolium,Ivy-leaved cyclamen
160,Smilax excelsa,Larger Smilax
161,Ceratonia siliqua,carob tree
162,Quercus coccifera,Kermes oak
163,Eryngium creticum,Syrian eryngo
164,Prospero autumnale,Autumn Squill Complex
165,Carlina corymbosa,Clustered Carline-thistle
166,Leontodon hispidus,Rough Hawkbit
167,Carthamus dentatus,
168,Arbutus unedo,strawberry tree
169,Quercus aucheri,Boz-Pirnal Oak
170,Ruellia simplex,Mexican ruellia
171,Lantana camara,common lantana
172,Picnomon acarna,Yellow-spine Thistle
173,Arbutus andrachne,Greek strawberry-tree
174,Pinus brutia,Turkish pine
175,Platanus orientalis,Oriental Plane
176,Mentha longifolia,Horse Mint
177,Vitex agnus-castus,Lilac chaste tree
178,Pinus brutia,Turkish pine
179,Olea europaea,Olive
180,Olea europaea,Olive
181,Crataegus orientalis,Oriental Hawthorn
182,Heptapleurum arboricola,Miniature umbrella tree
183,Ruellia simplex,Mexican ruellia
188,Ceratonia siliqua,carob tree
191,Dittrichia viscosa,false yellowhead
192,Myrtus communis,myrtle
193,Platanus orientalis,Oriental Plane
194,Myrtus communis,myrtle
195,Pinus brutia,Turkish pine
196,Smilax excelsa,Larger Smilax
197,Ceratonia siliqua,carob tree
198,Drimia aphylla,Sea Squill
199,Quercus coccifera,Kermes oak
201,Laurus nobilis,Bay laurel
202,Platanus orientalis,Oriental Plane
203,Pseudodictamnus acetabulosus,False Dittany
204,Asplenium ceterach,Rustyback
205,Umbilicus rupestris,Wall Pennywort
206,Selaginella denticulata,Mediterranean clubmoss
207,Lunularia cruciata,Crescent-cup liverwort
208,Ficus carica,common fig
209,Smyrnium connatum,
210,Cystopteris fragilis,brittle bladderfern
212,Capparis spinosa,Caper Bush
213,Drimia maritima,Sea Squill Complex
214,Capparis spinosa aegyptia,
215,Capparis spinosa aegyptia,
216,Ceratonia siliqua,carob tree
217,Parthenocissus quinquefolia,Virginia creeper
218,Asclepias curassavica,tropical milkweed
220,Dittrichia viscosa,false yellowhead
222,Tagetes minuta,wild marigold
223,Arbutus andrachne,Greek strawberry-tree
224,Ruscus aculeatus,butcher's-broom
225,Arbutus unedo,strawberry tree
226,Smilax excelsa,Larger Smilax
227,Rubia tenuifolia,
228,Selaginella denticulata,Mediterranean clubmoss
229,Asplenium ceterach,Rustyback
230,Asparagus aphyllus,Mediterranean Asparagus
233,Laurus nobilis,Bay laurel
234,Ficus carica,common fig
235,Opuntia ficus-indica,Indian fig opuntia
236,Punica granatum,pomegranate
237,Euphorbia dendroides,tree spurge
238,Quercus coccifera,Kermes oak
241,Pistacia terebinthus,terebinth
242,Lepidospartum squamatum,California Broomsage
243,Clinopodium alpinum,Rock Thyme
244,Sternbergia lutea,Winter Daffodil
245,Euphorbia chamaesyce,prostrate spurge
246,Lagenaria siceraria,Calabash
247,Hypochaeris glabra,Smooth Cat's Ear
248,Asphodelus ramosus,Branched Asphodel
250,Verbascum nudatum,
251,Quercus aucheri,Boz-Pirnal Oak
252,Asparagus aphyllus,Mediterranean Asparagus
253,Drimia aphylla,Sea Squill
254,Vitex agnus-castus,Lilac chaste tree
255,Phillyrea latifolia,Green Olive Tree
256,Smilax aspera,Rough Bindweed
257,Vitex agnus-castus,Lilac chaste tree
258,Olea europaea,Olive
260,Punica granatum,pomegranate
261,Morus alba,white mulberry
262,Pistacia terebinthus,terebinth
263,Prospero autumnale,Autumn Squill Complex
265,Dittrichia viscosa,false yellowhead
266,Catharanthus roseus,Madagascar Periwinkle
267,Styrax officinalis,Snowdrop Bush
268,Hyoscyamus aureus,Yellow Henbane
271,Ephedra foeminea,
272,Prospero autumnale,Autumn Squill Complex
273,Olea europaea,Olive
274,Pistacia lentiscus,mastic
275,Myrtus communis,myrtle
276,Tricleocarpa fragilis,
277,Narcissus miniatus,
278,Narcissus miniatus,
280,Adiantum capillus-veneris,black maidenhair fern
288,Pinus brutia,Turkish pine
290,Quercus coccifera,Kermes oak
291,Limbarda crithmoides,Golden Samphire
292,Salvia officinalis,garden sage
293,Colchicum variegatum,Chequered Meadow Saffron
294,Quercus aucheri,Boz-Pirnal Oak
295,Olea europaea,Olive
296,Podranea ricasoliana,Pink Trumpet Vine
297,Tribulus terrestris,puncture vine
298,Bellis sylvestris,southern daisy
299,Cyclamen hederifolium,Ivy-leaved cyclamen
300,Picnomon acarna,Yellow-spine Thistle
301,Narcissus miniatus,
302,Dittrichia viscosa,false yellowhead
303,Sternbergia lutea,Winter Daffodil
304,Juniperus turbinata,Mediterranean juniper
305,Sinapis arvensis,Wild Mustard
308,Leucaena leucocephala,White leadtree
309,Tamarix aphylla,athel tamarisk
311,Ceratonia siliqua,carob tree
312,Quercus coccifera,Kermes oak
317,Cyclamen graecum anatolicum,Anatolian Cyclamen
320,Ficus carica,common fig
321,Ononis natrix,yellow restharrow
324,Arbutus unedo,strawberry tree
325,Nerium oleander,oleander
326,Medicago sativa,Alfalfa Complex
327,Spartium junceum,Spanish Broom
328,Onopordum bracteatum,Branched Cotton Thistle
329,Glaucium flavum,Yellow Horned Poppy
330,Hypochaeris glabra,Smooth Cat's Ear
331,Verbascum mucronatum,
334,Erica manipuliflora,Autumn Heather
335,Dittrichia graveolens,Stinkwort
336,Foeniculum vulgare,fennel
337,Quercus aucheri,Boz-Pirnal Oak
338,Quercus coccifera,Kermes oak
339,Convolvulus althaeoides althaeoides,
340,Narcissus miniatus,
341,Asparagus aphyllus,Mediterranean Asparagus
342,Drimia aphylla,Sea Squill
343,Thymbra capitata,Spanish Oregano
345,Austrocylindropuntia subulata,Eve's Needle Cactus
346,Phagnalon rupestre,rock phagnalon
347,Phagnalon rupestre,rock phagnalon
353,Arisarum vulgare,Friar's-cowl
355,Oxalis pes-caprae,Bermuda buttercup
359,Smilax pumila,sarsaparilla vine
360,Capparis zoharyi,Egyptian Caper
361,Hypochaeris glabra,Smooth Cat's Ear
362,Raphanus raphanistrum,Jointed Charlock
365,Calendula arvensis,field marigold
