scientific_name,common_name
Lactuca serriola,prickly lettuce
Ornithogalum nutans,Drooping Star-of-Bethlehem
Acacia saligna,golden wreath wattle
Hirschfeldia incana,Shortpod Mustard
Asteraceae,"sunflowers, daisies, asters, and allies"
Bellardia trixago,Mediterranean lineseed
Daucus carota,wild carrot
Trifolium stellatum,Star Clover
Poaceae,grasses
Magnoliopsida,dicots
Magnoliopsida,dicots
Anthericum,
Lysimachia arvensis,scarlet pimpernel
Oenothera lindheimeri,clockweed
Bituminaria bituminosa,arabian pea
Pinus brutia,Turkish pine
Urtica,nettles
Lolium,Ryegrasses
Gladiolus italicus,Field Gladiolus
Salvia fruticosa,Greek Sage
Euphorbia peplus,Petty Spurge
Orchis anatolica,Anatolian Orchid
Asphodelus ramosus,Branched Asphodel
Euphorbia characias,Mediterranean spurge
Cytinus ruber,
Bellardia viscosa,Yellow Glandweed
Ptilostemon chamaepeuce,Shrubby Knapweed
Tordylium apulum,Mediterranean Hartwort
Stachys spinulosa,
Echium plantagineum,purple viper's-bugloss
Phlomis,Jerusalem Sage
Knautia arvensis,Field Scabious
Cistus creticus,Hoary Rock-rose
Cistus salviifolius,Sage-leaved Rock-rose
Lavandula stoechas,topped lavender
Pinus brutia,Turkish pine
Hordeum murinum,wall barley
Origanum onites,Pot Marjoram
Lysimachia arvensis,scarlet pimpernel
Campanula,bellflowers
Fritillaria sibthorpiana,
Dracunculus vulgaris,dragon arum
Allium neapolitanum,Naples garlic
Lactuca serriola,prickly lettuce
Paliurus spina-christi,Jerusalem Thorn
Anacamptis sancta,Holy Orchid
Ornithogalum umbellatum,common star-of-Bethlehem
Securigera varia,purple crownvetch
Knautia arvensis,Field Scabious
Hypericum,St. John's worts
Hypericum perforatum,common St. John's-wort
Euphorbia acanthothamnos,Greek spiny spurge
Helichrysum arenarium,Dwarf Everlasting
Pinus brutia,Turkish pine
Lysimachia arvensis caerulea,Blue Scarlet Pimpernel
Anacamptis sancta,Holy Orchid
Paliurus spina-christi,Jerusalem Thorn
Trifolium argutum,Sharp-tooth Clover
Daucus carota,wild carrot
Ficus carica,common fig
Spartium junceum,Spanish Broom
Trifolium arvense,rabbitfoot clover
Sonchus asper,prickly sowthistle
Vicia,Vetches
Magnoliopsida,dicots
Magnoliopsida,dicots
Carduus,plumeless thistles
Bromus,bromes
Geranium purpureum,Little-Robin
Ranunculus muricatus,Rough-fruited buttercup
Carduus,plumeless thistles
Sonchus,sow thistles
Trifolium stellatum,Star Clover
Cichorium pumilum,Wild Endive
Centaurea urvillei,d´Urvilles Star-thistle
Arbutus andrachne,Greek strawberry-tree
Chondrilla juncea,Rush Skeletonweed
Ferula communis,Giant Fennel
Ranunculus muricatus,Rough-fruited buttercup
Satureja thymbra,Thyme-leaved Savory
Mercurialis annua,Annual mercury
Lantana,
Avena sterilis,animated oat
Poaceae,grasses
Ophrys apifera,Bee Orchid
Vicia cretica,Cretan Vetch
Tuberaria guttata,Spotted Rock-rose
Trifolium repens,white clover
Verbascum,mulleins
Verbascum thapsus,great mullein
Glebionis coronaria,Garland Daisy
Serapias,Tongue Orchid
Medicago polymorpha,bur clover
Lysimachia arvensis,scarlet pimpernel
Poaceae,grasses
Fumaria judaica,Judean Fumitory
Leopoldia comosa,Tassel Hyacinth
Echium italicum,Pale Bugloss
Laurus nobilis,Bay laurel
Limonium sinuatum,Blue statice
Sonchus asper,prickly sowthistle
Cichorieae,
Poaceae,grasses
Vicia sativa,Common Vetch
Glebionis coronaria,Garland Daisy
Malva sylvestris,Common Mallow
Pallenis spinosa,Spiny Starwort
Daucus carota,wild carrot
Poa pratensis,Smooth Meadow-grass
Eucalyptus,eucalyptus
Silybum marianum,milk thistle
Ricinus communis,castor bean
Prunella vulgaris,common selfheal
Erica,Heaths
Papaver rhoeas,common poppy
Hypericum perforatum,common St. John's-wort
Nerium oleander,oleander
Vitex agnus-castus,Lilac chaste tree
Paliurus spina-christi,Jerusalem Thorn
Verbascum cariense,
Urospermum picroides,False Hawkbit
Magnoliopsida,dicots
Nicotiana glauca,tree tobacco
Cyperus rotundus,Purple nutsedge
Crepis commutata,
Vicia sativa,Common Vetch
Daucus carota,wild carrot
Daucus carota,wild carrot
Phoenix dactylifera,Date Palm
Papaver rhoeas,common poppy
Centaurea iberica,Iberian star-thistle
Malva punctata,Spotted-stalked Tree-mallow
Lotus corniculatus,bird's-foot trefoil
Dittrichia viscosa,false yellowhead
Nerium oleander,oleander
Knautia integrifolia,Urville´s Widowflower
Chenopodium album,Common Lambsquarters
Alhagi graecorum,Camel's Thorn
Ricinus communis,castor bean
Polygonum aviculare,Prostrate Knotweed
Pyrus spinosa,Almond-leaved pear
Ferula communis,Giant Fennel
Ipomoea indica,oceanblue morning glory
Pallenis spinosa,Spiny Starwort
Malva multiflora,Cretan Tree-mallow
Ranunculus muricatus,Rough-fruited buttercup
Silene cariensis,
Scolymus hispanicus,common golden thistle
Carthamus lanatus,woolly distaff thistle
Lagoecia cuminoides,Fluffy Thimbleweed
Arum dioscoridis,Dioscorides Arum
Velezia rigida,Stiff Velezia
