,scientific_name,common_name
0,Lactuca serriola,prickly lettuce
1,Ornithogalum nutans,Drooping Star-of-Bethlehem
2,Acacia saligna,golden wreath wattle
3,Hirschfeldia incana,Shortpod Mustard
5,Bellardia trixago,Mediterranean lineseed
6,Daucus carota,wild carrot
7,Trifolium stellatum,Star Clover
12,Lysimachia arvensis,scarlet pimpernel
13,Oenothera lindheimeri,clockweed
14,Bituminaria bituminosa,arabian pea
15,Pinus brutia,Turkish pine
18,Gladiolus italicus,Field Gladiolus
19,Salvia fruticosa,Greek Sage
20,Euphorbia peplus,Petty Spurge
21,Orchis anatolica,Anatolian Orchid
22,Asphodelus ramosus,Branched Asphodel
23,Euphorbia characias,Mediterranean spurge
24,Cytinus ruber,
25,Bellardia viscosa,Yellow Glandweed
26,Ptilostemon chamaepeuce,Shrubby Knapweed
27,Tordylium apulum,Mediterranean Hartwort
28,Stachys spinulosa,
29,Echium plantagineum,purple viper's-bugloss
31,Knautia arvensis,Field Scabious
32,Cistus creticus,Hoary Rock-rose
33,Cistus salviifolius,Sage-leaved Rock-rose
34,Lavandula stoechas,topped lavender
35,Pinus brutia,Turkish pine
36,Hordeum murinum,wall barley
37,Origanum onites,Pot Marjoram
38,Lysimachia arvensis,scarlet pimpernel
40,Fritillaria sibthorpiana,
41,Dracunculus vulgaris,dragon arum
42,Allium neapolitanum,Naples garlic
43,Lactuca serriola,prickly lettuce
44,Paliurus spina-christi,Jerusalem Thorn
45,Anacamptis sancta,Holy Orchid
46,Ornithogalum umbellatum,common star-of-Bethlehem
47,Securigera varia,purple crownvetch
48,Knautia arvensis,Field Scabious
50,Hypericum perforatum,common St. John's-wort
51,Euphorbia acanthothamnos,Greek spiny spurge
52,Helichrysum arenarium,Dwarf Everlasting
53,Pinus brutia,Turkish pine
54,Lysimachia arvensis caerulea,Blue Scarlet Pimpernel
55,Anacamptis sancta,Holy Orchid
56,Paliurus spina-christi,Jerusalem Thorn
57,Trifolium argutum,Sharp-tooth Clover
58,Daucus carota,wild carrot
59,Ficus carica,common fig
60,Spartium junceum,Spanish Broom
61,Trifolium arvense,rabbitfoot clover
62,Sonchus asper,prickly sowthistle
68,Geranium purpureum,Little-Robin
69,Ranunculus muricatus,Rough-fruited buttercup
72,Trifolium stellatum,Star Clover
73,Cichorium pumilum,Wild Endive
74,Centaurea urvillei,d´Urvilles Star-thistle
75,Arbutus andrachne,Greek strawberry-tree
76,Chondrilla juncea,Rush Skeletonweed
77,Ferula communis,Giant Fennel
78,Ranunculus muricatus,Rough-fruited buttercup
79,Satureja thymbra,Thyme-leaved Savory
80,Mercurialis annua,Annual mercury
82,Avena sterilis,animated oat
84,Ophrys apifera,Bee Orchid
85,Vicia cretica,Cretan Vetch
86,Tuberaria guttata,Spotted Rock-rose
87,Trifolium repens,white clover
89,Verbascum thapsus,great mullein
90,Glebionis coronaria,Garland Daisy
92,Medicago polymorpha,bur clover
93,Lysimachia arvensis,scarlet pimpernel
95,Fumaria judaica,Judean Fumitory
96,Leopoldia comosa,Tassel Hyacinth
97,Echium italicum,Pale Bugloss
98,Laurus nobilis,Bay laurel
99,Limonium sinuatum,Blue statice
100,Sonchus asper,prickly sowthistle
103,Vicia sativa,Common Vetch
104,Glebionis coronaria,Garland Daisy
105,Malva sylvestris,Common Mallow
106,Pallenis spinosa,Spiny Starwort
107,Daucus carota,wild carrot
108,Poa pratensis,Smooth Meadow-grass
110,Silybum marianum,milk thistle
111,Ricinus communis,castor bean
112,Prunella vulgaris,common selfheal
114,Papaver rhoeas,common poppy
115,Hypericum perforatum,common St. John's-wort
116,Nerium oleander,oleander
117,Vitex agnus-castus,Lilac chaste tree
118,Paliurus spina-christi,Jerusalem Thorn
119,Verbascum cariense,
120,Urospermum picroides,False Hawkbit
122,Nicotiana glauca,tree tobacco
123,Cyperus rotundus,Purple nutsedge
124,Crepis commutata,
125,Vicia sativa,Common Vetch
126,Daucus carota,wild carrot
127,Daucus carota,wild carrot
128,Phoenix dactylifera,Date Palm
129,Papaver rhoeas,common poppy
130,Centaurea iberica,Iberian star-thistle
131,Malva punctata,Spotted-stalked Tree-mallow
132,Lotus corniculatus,bird's-foot trefoil
133,Dittrichia viscosa,false yellowhead
134,Nerium oleander,oleander
135,Knautia integrifolia,Urville´s Widowflower
136,Chenopodium album,Common Lambsquarters
137,Alhagi graecorum,Camel's Thorn
138,Ricinus communis,castor bean
139,Polygonum aviculare,Prostrate Knotweed
140,Pyrus spinosa,Almond-leaved pear
141,Ferula communis,Giant Fennel
142,Ipomoea indica,oceanblue morning glory
