,scientific_name,count
0,Anemone coronaria,24
1,Daucus carota,22
2,Glebionis coronaria,21
3,Pistacia lentiscus,19
4,Asphodelus ramosus,17
5,Nerium oleander,17
6,Papaver rhoeas,17
7,Lysimachia arvensis,16
8,Ferula communis,15
9,Cistus creticus,14
10,Cistus salviifolius,14
11,Oxalis pes-caprae,14
12,Acacia saligna,13
13,Heliotropium europaeum,13
14,Orchis anatolica,13
17,Pinus brutia,12
15,Calendula arvensis,12
16,Echium plantagineum,12
18,Quercus coccifera,11
19,Erodium moschatum,10
20,Olea europaea,10
21,Tragopogon porrifolius,10
22,Allium neapolitanum,9
23,Spartium junceum,9
24,Romulea tempskyana,9
30,Pancratium maritimum,8
34,Anacamptis sancta,8
33,Iris unguicularis,8
32,Myrtus communis,8
31,Ricinus communis,8
28,Arbutus andrachne,8
29,Vitex agnus-castus,8
27,Vicia hybrida,8
26,Lupinus angustifolius,8
25,Malva sylvestris,8
42,Lamium amplexicaule,7
49,Cupressus sempervirens,7
48,Laurus nobilis,7
47,Malva multiflora,7
46,Erodium malacoides,7
45,Mandragora autumnalis,7
43,Plumbago auriculata,7
44,Arisarum vulgare,7
41,Ceratonia siliqua,7
40,Capparis spinosa,7
39,Cyclamen alpinum,7
38,Sarcopoterium spinosum,7
37,Pyrus spinosa,7
36,Euphorbia helioscopia,7
35,Anagyris foetida,7
58,Centaurium erythraea,6
64,Opuntia ficus-indica,6
63,Origanum onites,6
62,Urospermum picroides,6
61,Serapias vomeracea,6
60,Lavandula stoechas,6
59,Matricaria chamomilla,6
50,Polygonum aviculare,6
57,Moraea sisyrinchium,6
55,Knautia integrifolia,6
54,Liagora ceranoides,6
53,Arbutus unedo,6
52,Hirschfeldia incana,6
51,Lantana camara,6
56,Sonchus asper,6
82,Leopoldia comosa,5
78,Lactuca serriola,5
80,Tordylium apulum,5
81,Gladiolus italicus,5
85,Pallenis spinosa,5
83,Ornithogalum umbellatum,5
84,Euphorbia characias,5
76,Ruscus aculeatus,5
86,Ranunculus muricatus,5
77,Crepis commutata,5
79,Ficus carica,5
75,Drimia maritima,5
69,Tragopogon orientalis,5
74,Cedrus libani,5
65,Anemonoides blanda,5
66,Echinops spinosissimus,5
68,Colchicum variegatum,5
67,Carthamus lanatus,5
70,Calicotome villosa,5
71,Oxalis corniculata,5
72,Eriobotrya japonica,5
73,Clematis cirrhosa,5
108,Verbascum sinuatum,4
103,Hypochaeris glabra,4
104,Convolvulus arvensis,4
105,Smyrnium olusatrum,4
106,Sonchus oleraceus,4
107,Senecio vulgaris,4
114,Scrophularia lucida,4
109,Arundo plinii,4
110,Smilax aspera,4
111,Phelipanche nana,4
112,Fumaria judaica,4
113,Vicia sativa,4
101,Euphorbia maculata,4
102,Paliurus spina-christi,4
115,Malva punctata,4
